KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
52,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co. ,1888,None,1a ,None,Photogravure,specimens_resized/52_S.JPG,specimens_resized_panel/52_S.JPG
53,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1888,None,49a,None,Gelatin silver DOP,specimens_resized/53_S.JPG,specimens_resized_panel/53_S.JPG
54,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1888,None,261a,Photogravure Co. ,Photolithograph,specimens_resized/54_S.JPG,specimens_resized_panel/54_S.JPG
55,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1890,None,48a,F. Gutekunst ,Collotype,specimens_resized/55_S.JPG,specimens_resized_panel/55_S.JPG
56,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1890,None,178a,Photogravure Co.,Photogravure,specimens_resized/56_S.JPG,specimens_resized_panel/56_S.JPG
57,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1892,None,1a ,N.Y.Photogravure Co.,Photogravure,specimens_resized/57_S.JPG,specimens_resized_panel/57_S.JPG
58,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1892,None,23a,F. Gutekunst ,Collotype,specimens_resized/58_S.JPG,specimens_resized_panel/58_S.JPG
59,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1892,None,150a,Albertype Co. ,Collotype,specimens_resized/59_S.JPG,specimens_resized_panel/59_S.JPG
60,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1893,None,1a ,N.Y.Photogravure Co.,Photogravure,specimens_resized/60_S.JPG,specimens_resized_panel/60_S.JPG
61,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1893,None,269a,Albertype Co.,Collotype,specimens_resized/61_S.JPG,specimens_resized_panel/61_S.JPG
62,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1894,None,1b,J.G. Browning,Collodion POP,specimens_resized/62_S.JPG,specimens_resized_panel/62_S.JPG
63,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,None,1a,Coloritype Company,Halftone,specimens_resized/63_S.JPG,specimens_resized_panel/63_S.JPG
