KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath,localpath,hue,saturation,brightness,cluster,title_c,author_c,year_c,specattr_c,sprocess_c,cluster_c
52,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co. ,1888,None,1a ,None,Photogravure,specimens_resized/52_S.JPG,specimens_resized_panel/52_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/52_S.JPG,34.0,0.3615433299098412,0.6249056041335453,7,7,7,7,0,2,1
53,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1888,None,49a,None,Gelatin silver DOP,specimens_resized/53_S.JPG,specimens_resized_panel/53_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/53_S.JPG,35.0,0.14883803369608092,0.5258403730171843,10,7,6,7,0,3,7
54,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1888,None,261a,Photogravure Co. ,Photolithograph,specimens_resized/54_S.JPG,specimens_resized_panel/54_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/54_S.JPG,203.0,0.11093839511442033,0.5509667861709902,10,7,6,7,7,5,7
55,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1890,None,48a,F. Gutekunst ,Collotype,specimens_resized/55_S.JPG,specimens_resized_panel/55_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/55_S.JPG,51.0,0.08952456703965844,0.5423287185968138,10,7,6,7,7,1,7
56,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1890,None,178a,Photogravure Co.,Photogravure,specimens_resized/56_S.JPG,specimens_resized_panel/56_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/56_S.JPG,230.0,0.06928742450556231,0.5758149509803921,10,7,6,7,7,2,7
57,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1892,None,1a ,N.Y.Photogravure Co.,Photogravure,specimens_resized/57_S.JPG,specimens_resized_panel/57_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/57_S.JPG,19.0,0.09101544667589592,0.4918163626209978,0,7,6,2,7,2,7
58,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1892,None,23a,F. Gutekunst ,Collotype,specimens_resized/58_S.JPG,specimens_resized_panel/58_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/58_S.JPG,42.0,0.2741665762245873,0.5610407411662581,10,7,6,2,7,1,7
59,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1892,None,150a,Albertype Co. ,Collotype,specimens_resized/59_S.JPG,specimens_resized_panel/59_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/59_S.JPG,223.0,0.091650319113533,0.4933281773075084,10,7,6,2,7,1,7
60,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1893,None,1a ,N.Y.Photogravure Co.,Photogravure,specimens_resized/60_S.JPG,specimens_resized_panel/60_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/60_S.JPG,60.0,0.21740423003409207,0.4878831244285278,10,7,6,3,7,2,7
61,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1893,None,269a,Albertype Co.,Collotype,specimens_resized/61_S.JPG,specimens_resized_panel/61_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/61_S.JPG,37.0,0.2096233295026273,0.5175334456699346,10,7,6,3,7,1,7
62,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1894,None,1b,J.G. Browning,Collodion POP,specimens_resized/62_S.JPG,specimens_resized_panel/62_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/62_S.JPG,245.0,0.033071025370696464,0.5505936858755128,6,7,6,1,7,4,3
63,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,None,1a,Coloritype Company,Halftone,specimens_resized/63_S.JPG,specimens_resized_panel/63_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/63_S.JPG,44.0,0.17232853332374687,0.5803043141084558,10,7,6,1,7,7,7
64,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,None,114a,F. Gutekunst ,Collotype,specimens_resized/64_S.JPG,specimens_resized_panel/64_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/64_S.JPG,28.0,0.12198033332508393,0.537193767988847,11,7,6,1,7,1,0
65,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,None,130a,None,Halftone,specimens_resized/65_S.JPG,specimens_resized_panel/65_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/65_S.JPG,46.0,0.06715857079639999,0.5747719978875527,10,7,6,1,0,7,7
66,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,None,146a,Albertype Co. ,Collotype,specimens_resized/66_S.JPG,specimens_resized_panel/66_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/66_S.JPG,32.0,0.08621762305740803,0.5500378460207612,10,7,6,1,7,1,7
67,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,None,403a,American Aristotype Co. ,Collodion POP,specimens_resized/67_S.JPG,specimens_resized_panel/67_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/67_S.JPG,20.0,0.14859820944017646,0.580477858373079,0,7,6,1,7,4,7
68,TR 1. A55,The American Annual of Photography and Photographic Times Almanac ,Scovill Manufacturing Co.,1900,None,1a ,Albertype Co.,Collotype,specimens_resized/68_S.JPG,specimens_resized_panel/68_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/68_S.JPG,54.0,0.1903991664713989,0.5400063631221721,6,7,6,7,7,1,3
69,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1900,None,22a,Gravure-Photochrome Engraving Co.,Collotype,specimens_resized/69_S.JPG,specimens_resized_panel/69_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/69_S.JPG,45.0,0.30305853181470216,0.5468331929125817,0,7,6,7,7,1,7
70,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1900,None,backmatter,Albemarle Paper Manufacturing Co. ,Blotting paper sample,specimens_resized/70_S.JPG,specimens_resized_panel/70_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/70_S.JPG,227.0,0.07861275250352417,0.5536127773477811,4,7,6,7,7,7,7
95,TR 1. A56,American Journal of Photography,Charles A. Seely,1861,June,48,None,Albumen silver print,specimens_resized/95_S.JPG,specimens_resized_panel/95_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/95_S.JPG,209.0,0.11611361198475822,0.5447741044018617,4,7,7,7,0,0,7
96,TR 1. A56,American Journal of Photography,Charles A. Seely,1861,July,86,None,Salted paper print,specimens_resized/96_S.JPG,specimens_resized_panel/96_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/96_S.JPG,219.0,0.059679214737345776,0.6015999987234477,4,7,7,7,0,7,7
97,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1874,April ,133a,None,Halftone,specimens_resized/97_S.JPG,specimens_resized_panel/97_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/97_S.JPG,46.0,0.03637564216141342,0.5597103187866055,10,5,5,6,0,7,7
98,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1874,June,196b,None,Photolithograph,specimens_resized/98_S.JPG,specimens_resized_panel/98_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/98_S.JPG,244.0,0.025372287919676672,0.5204653935618833,3,5,5,6,0,5,4
99,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1874,June,197a,None,Photolithograph,specimens_resized/99_S.JPG,specimens_resized_panel/99_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/99_S.JPG,1.0,0.016918586437766926,0.5504583333333333,8,5,5,6,0,5,6
100,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1877,July,192a,None,Carbon print,specimens_resized/100_S.JPG,specimens_resized_panel/100_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/100_S.JPG,338.0,0.13503914098570455,0.5338522518382353,11,5,5,7,0,7,0
