KM,callnum,title,author,year,month,page,specattr,specattrloc,specneg,specnegloc,specop,specformpage,specdescpage,sprocessperiod,sprocess,photomech,hasphoto,paperman,paperbran,paperloc,negman,negbran,negloc,lensman,lensbran,lensloc,mountman,mountloc,coatman,coatloc,accman,accloc,subj,snote,sanalysis,specpath,fullspecpath,negman_k,mountman_k,lensman_k,accman_k,coatman_k,paperman_k,author_sort,specattr_sort,specneg_sort,specop_sort,localpath,cluster,decade,title_c,author_c,decade_c,specattr_c,specattrloc_c,specneg_c,specnegloc_c,specop_c,sprocess_c,photomech_c,hasphoto_c,paperman_c,paperbran_c,paperloc_c,negman_c,negbran_c,negloc_c,lensman_c,lensbran_c,lensloc_c,mountman_c,mountloc_c,coatman_c,coatloc_c,accman_c,accloc_c,subj_c,cluster_c,negman_k_c,mountman_k_c,lensman_k_c,accman_k_c,coatman_k_c,paperman_k_c,tabspecpath
52,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1888,,1a,,,,,,,,Obernetter's Photogravure Process,Photogravure,True,True,,,,,,,,,,,,,,,,Landscape,,,specimens_resized/52_S.JPG,specimens_resized_panel/52_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/52_S.JPG,9,188,7,5,2,7,7,7,7,7,2,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,0,0,0,0,0,0,specimens/52_S.JPG
53,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1888,,49a,,,,,,,,,Gelatin silver DOP,False,True,Eastman,Permanent Bromide Paper,"Rochester, NY, USA",,,,,,,,,,,,,Landscape,,,specimens_resized/53_S.JPG,specimens_resized_panel/53_S.JPG,False,False,False,False,False,True,Scovill Manufacturing Co.,,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/53_S.JPG,11,188,7,5,2,7,7,7,7,7,3,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,0,0,0,0,0,1,specimens/53_S.JPG
54,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1888,,261a,Photogravure Co.,"New York, NY, USA",,,,,,Photolithograph,Photolithograph,True,True,,,,,,,,,,,,,,,,Landscape,,,specimens_resized/54_S.JPG,specimens_resized_panel/54_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Photogravure Co.,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/54_S.JPG,11,188,7,5,2,5,1,7,7,7,5,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,0,0,0,0,0,0,specimens/54_S.JPG
55,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1890,,48a,F. Gutekunst,"Philadelphia, PA, USA",,,,,,Phototype,Collotype,True,True,,,,,,,,,,,,,,,,Genre,,,specimens_resized/55_S.JPG,specimens_resized_panel/55_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,"Gutekunst, F.",,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/55_S.JPG,11,189,7,5,0,0,0,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,0,0,0,0,0,0,specimens/55_S.JPG
56,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1890,,178a,Photogravure Co.,"New York, NY, USA",,,,,,Photogravure,Photogravure,True,True,,,,,,,,,,,,,,,,"Portrait, child",,,specimens_resized/56_S.JPG,specimens_resized_panel/56_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Photogravure Co.,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/56_S.JPG,3,189,7,5,0,5,1,7,7,7,2,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,0,0,0,0,0,0,specimens/56_S.JPG
57,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1892,,1a,NY Photogravure Co.,"New York, NY, USA",H. McMichael,"Buffalo, NY, USA",,,,Photogravure,Photogravure,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/57_S.JPG,specimens_resized_panel/57_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,NY Photogravure Co.,"McMichael, H.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/57_S.JPG,4,189,7,5,0,7,1,7,7,7,2,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,6,0,0,0,0,0,0,specimens/57_S.JPG
58,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1892,,23a,F. Gutekunst,"Philadelphia, PA, USA",Gustav Leupelt,,,,,Phototype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, children",,,specimens_resized/58_S.JPG,specimens_resized_panel/58_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,"Gutekunst, F.","Leupelt, Gustav",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/58_S.JPG,11,189,7,5,0,0,0,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,specimens/58_S.JPG
59,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1892,,150a,Albertype Co.,"New York, NY, USA",Friedrich Muller,"Munich, Germany",,,,Albertype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/59_S.JPG,specimens_resized_panel/59_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Albertype Co.,"Muller, Friedrich",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/59_S.JPG,11,189,7,5,0,7,1,7,6,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,0,0,0,0,0,0,specimens/59_S.JPG
60,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1893,,1a,NY Photogravure Co.,"New York, NY, USA",Emile V. Clarkson,"New York, NY, USA",,,,Photogravure,Photogravure,True,True,,,,,,,,,,,,,,,,Genre,,,specimens_resized/60_S.JPG,specimens_resized_panel/60_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,NY Photogravure Co.,"Clarkson, Emile V.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/60_S.JPG,11,189,7,5,0,7,1,7,2,7,2,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,0,0,0,0,0,0,specimens/60_S.JPG
61,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1893,,269a,Albertype Co.,"New York, NY, USA",Mrs. James Osborne Wright,,,,,Albertype,Collotype,True,True,,,,,,,,,,,,,,,,Genre,,,specimens_resized/61_S.JPG,specimens_resized_panel/61_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Albertype Co.,"Wright, Mrs. James Osborne",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/61_S.JPG,11,189,7,5,0,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,0,0,0,0,0,0,specimens/61_S.JPG
62,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,,1b,J.G. Browning,"Greston, IA, USA",J.G. Browning,"Greston, IA, USA",,,,,Collodion chloride POP,False,True,Bradfisch & Pierce,Red Label Aristotype Paper,"Brooklyn, NY, USA",,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/62_S.JPG,specimens_resized_panel/62_S.JPG,False,False,False,False,False,True,Scovill Manufacturing Co.,"Browning, J.G.","Browning, J.G.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/62_S.JPG,0,189,7,5,0,7,7,7,7,7,4,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,3,0,0,0,0,0,1,specimens/62_S.JPG
63,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,,1a,Coloritype Company,,,,,,,,Halftone,True,True,,,,,,,,,,,,,,,,Animal,,,specimens_resized/63_S.JPG,specimens_resized_panel/63_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Coloritype Company,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/63_S.JPG,3,189,7,5,0,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,specimens/63_S.JPG
64,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,,114a,F. Gutekunst,"Philadelphia, PA, USA",George G. Rockwood,"New York, NY, USA",,,,Phototype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, children",,,specimens_resized/64_S.JPG,specimens_resized_panel/64_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,"Gutekunst, F.","Rockwood, George G.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/64_S.JPG,11,189,7,5,0,0,0,7,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,specimens/64_S.JPG
